Index,Title,Authors,Publishers,Reading status,Created date,Started date,Read date,Stopped date,Rating,Note1,Note2,Note3,Note4
55,내가 커지면 문제는 작아진다,문요한  김인하 ,해냄,Done,2025-05-02,2025-05-02,2025-05-05,,4.5,상담을 하다 보면 뜻대로 되지 않아 깊은 좌절감에 빠진 사람들을 많이 만날 수 있습니다. 간절히 원하면 자신이 바라는 대로 이루어진다고 굳게 믿었던 사람들이 뜻대로 되지 않았을 때 실망감과 좌절감을 훨씬 크게 느낍니다. \n\n건강한 믿음이란 자신이 계획한 대로 반드시 이루어질 것이라고 믿고 흔들림 없이 나아가는 것이라기보다  때로는 혼돈과 불확실함 때문에 흔들리고 멈춰 서지만 결국 그 길의 끝에 자신이 원하는 삶이 있을 거라는 믿음으로 한걸음씩 내딛는 마음에 가깝습니다. \n\n예전에는 꼬이는 일도 많았고 뜻대로 되지 않는 일들로 인해서 인생이 참 불친절하다는 느낌이 들었습니다. 인생이 내 편이 아니라고 느끼며 살아왔습니다. 그러다가 마흔이 되면서 인생에 대한 새로운 믿음이 생겨나기 시작했습니다. 무엇이 이루어지려면 때가 있고 지금까지 겪은 모든 경험과 방황들이 결국 내가 가야할 곳으로 나를 안내하는 이정표였다는 사실을 깨달았습니다. 내가 원하는 방향으로 인생을 끌고 간다기보다 인생이 나를 필요한 곳으로 이끌어준다는 믿음이 생겼습니다. \n\n그리고 내가 인생에 선의를 가지고 대하면 인생 역시 나를 선의로 대한다는 것을 믿게 되었습니다. 그래서 뜻대로 되지 않거나 누군가와의 관계가 삐걱거리게 되면 이렇게 생각합니다. ‘좋은 일이든 좋지 않은 일이든  뜻대로 되는 일이든 아니든  좋은 사람이든 좋지 않은 사람이든 살면서 겪게 되는 모든 경험과 만나는 모든 사람들은 궁극적으로 나를 더 성숙하게 만들고 마땅히 가야할 곳으로 나를 이끌어줄 것이다.’ \n\n그 믿음이 생기면서 성난 파도처럼 일렁거리던 심연의 불안도 잠잠해졌고 인생을 끌고가려고 버둥버둥거렸던 초조함도 많이 내려놓게 되었습니다. \n\n나는 기본적으로 믿습니다. 나의 물음과 두드림에 꼭 응답이 있으리라는 것을. 내가 고이지 않고 계속 흐른다면 결국 나는 바다에 가 닿으리라는 것을. 그리고 당신도 고이지 않고 계속 흐른다면 바다에 가 닿으리라는 것을. 우리는 그곳에서 만나 섞이게 되리라는 것을. 나는 믿습니다. ,중요한 것은 문제를 만나지 않고 사람과 관계하지 않는 것이 아니라 나의 존재를 키우고 나의 마음을 넓히는 것입니다. 당신이 커지면 문제는 작아지고  당신이 작아지면 문제는 커집니다. 당신의 마음이 넓어지면 갈등은 작아지지만  당신의 마음이 좁아지면 갈등은 커집니다. 나와 세상의 크기는 반비례하기 때문입니다. ,그 꿈은 나에게 잘 되지 않는 것을 억지로 하려는 노력이나 조바심을 덜어내라고 일깨워주었습니다. \n그 꿈을 계기로 삶을 억지로 끌고 가기보다 삶에 나를 내맡기면 삶이 나를 이끌어준다는 믿음을 얻게 되었습니다. \n폴 투르니에는 인생에는 기이한 역설이 있다고 했습니다. 우리 생애의 가장 의미 있는 성공들은 엄청난 수고를 통해 이루어지기보다 큰 노력 없이 혹은 그 원인을 분명히 알지 못한 채 이루어진다는 것 입니다. ,살다 보면 단지 무리에서 벗어났거나 남들과 다른 길을 걷는다는 이유만으로 상대를 가만히 두지 않는 사람들이 있습니다. 이럴 때에는 일일이 싸우기보다 그들이 물어뜯을 수 없는 곳으로 올라가는 것이 상책입니다.\n삶의 방향이 확고하게 서 있는 사람들은 타인들의 왜곡된 평가나 시선에 의연할 수 있습니다. 자신이 가야할 곳이 있기에 아무 곳에서나 힘을 낭비하지 않습니다. 오히려 걸림돌을 디딤돌로 삼아 더 높이 올라갑니다. 
56,우리가 빛의 속도로 갈 수 없다면 - 2019 제43회 오늘의 작가상 수상작,김초엽 ,허블,Done,2025-05-06,2025-05-06,2025-05-10,,3,,,,
57,I형 인간의 팀장생활 - 리더십의 본질을 꿰뚫는 하이퍼리얼리즘 오피스 드라마,권도연 ,현대지성,Done,2025-05-18,2025-05-18,2025-05-18,,5,,,,
58,급류,정대건 ,민음사,Done,2025-05-25,2025-05-25,2025-05-31,,3,,,,
59,나르시시스트에게 웃으며 거리 두는 법 - 무례한 사람으로부터 나를 지키는 현명한 태도,오수아 ,유노북스,Done,2025-06-15,2025-06-14,2025-06-15,,5,,,,
60,빛과 실 - 2024 노벨문학상 수상 강연문 수록  2024 노벨문학상 수상작가,한강 ,문학과지성사,Done,2025-06-20,2025-06-20,2025-06-25,,5,,,,
61,혼모노,성해나 ,창비,Done,2025-06-20,2025-06-20,2025-06-25,,4.5,,,,
62,월든 - 완결판,헨리 데이비드 소로  강승영 ,은행나무,Reading,2025-06-26,2025-06-26,,,0,,,,
63,그 많던 싱아는 누가 다 먹었을까 - 유년의 기억  박완서 타계 10주기 헌정 개정판,박완서 ,웅진지식하우스,Done,2025-07-06,2025-07-06,2025-08-04,,5,,,,
64,사랑의 정의는 고양이,임현우 ,고운밤,Reading,2025-07-19,2025-07-19,,,0,,,,
